epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5785.12,1.1137,0.84966,1.40004,1.41681,0.47281,0.3566,0.34696,0.18014,0.38068,0.25953,0.23228,0.09761,2.01908,4.81092,2.80582,2.50793,0.00017824,0.00017824,0.00017824
30,5882.44,1.09619,0.84073,1.36499,1.40428,0.50985,0.34848,0.34585,0.17999,0.33248,0.26264,0.22042,0.09135,2.07788,4.73885,2.71732,2.56881,0.00017032,0.00017032,0.00017032
31,5980.55,1.10291,0.865,1.36047,1.40981,0.43749,0.32512,0.32326,0.16883,0.3672,0.22817,0.2124,0.09354,2.01773,5.19999,2.89679,2.5424,0.0001624,0.0001624,0.0001624
32,6078.47,1.07267,0.86026,1.33581,1.39128,0.50069,0.35816,0.34756,0.18351,0.40573,0.25405,0.22997,0.09412,2.0349,5.13676,2.74609,2.55835,0.00015448,0.00015448,0.00015448
33,6176.41,1.07105,0.83535,1.33067,1.3889,0.51914,0.36159,0.34703,0.179,0.41746,0.25822,0.22424,0.09387,2.05551,5.33987,2.75518,2.58201,0.00014656,0.00014656,0.00014656
34,6274,1.06793,0.84977,1.29775,1.37862,0.52151,0.29797,0.33668,0.17386,0.38118,0.23931,0.21856,0.09329,2.05413,5.45939,2.85966,2.55266,0.00013864,0.00013864,0.00013864
35,6372.58,1.04815,0.79999,1.28155,1.36705,0.49011,0.36134,0.35477,0.18324,0.38656,0.26494,0.22641,0.09754,2.07286,5.37133,2.69989,2.61788,0.00013072,0.00013072,0.00013072
36,6470.95,1.02595,0.8278,1.25225,1.35935,0.53146,0.31443,0.32811,0.17028,0.45125,0.22702,0.20844,0.08836,2.05283,5.07888,2.87969,2.59653,0.0001228,0.0001228,0.0001228
37,6570.12,1.02233,0.81122,1.24119,1.34839,0.50157,0.33816,0.3349,0.17266,0.41705,0.25596,0.2247,0.09386,2.04583,5.2404,2.81201,2.57602,0.00011488,0.00011488,0.00011488
38,6668.98,1.01636,0.81707,1.22173,1.34255,0.48873,0.3473,0.34736,0.17749,0.37422,0.25327,0.2159,0.09247,2.06524,5.45919,2.8218,2.61793,0.00010696,0.00010696,0.00010696
39,6768.21,1.01276,0.80391,1.21868,1.34104,0.47325,0.34866,0.34224,0.17615,0.34479,0.26783,0.21712,0.093,2.04346,5.2571,2.7628,2.59019,9.904e-05,9.904e-05,9.904e-05
40,6866.68,0.99938,0.7752,1.19109,1.3279,0.57201,0.3294,0.34932,0.18349,0.47128,0.24297,0.23481,0.10143,2.06368,5.33345,2.83285,2.63206,9.112e-05,9.112e-05,9.112e-05
41,6959.59,0.88653,0.74591,0.89774,1.37947,0.55405,0.291,0.32238,0.16877,0.44128,0.21847,0.20903,0.08615,2.07418,5.62804,2.80065,2.60929,8.32e-05,8.32e-05,8.32e-05
42,7049.57,0.85109,0.69897,0.81982,1.34744,0.48886,0.32328,0.33586,0.17428,0.45168,0.23579,0.22002,0.09346,2.06957,5.47488,2.79692,2.61825,7.528e-05,7.528e-05,7.528e-05
43,7138.98,0.81949,0.69928,0.789,1.3208,0.4661,0.33327,0.33255,0.1696,0.37128,0.24362,0.21824,0.09187,2.06386,5.54606,2.82282,2.62689,6.736e-05,6.736e-05,6.736e-05
44,7229.8,0.79955,0.67436,0.75676,1.30371,0.48969,0.3217,0.34031,0.17592,0.38359,0.24062,0.22506,0.09325,2.08834,5.74282,2.8105,2.67058,5.944e-05,5.944e-05,5.944e-05
45,7319.55,0.78829,0.67911,0.74229,1.2921,0.45878,0.35546,0.34725,0.18263,0.37497,0.26012,0.23421,0.10057,2.0736,5.78419,2.76395,2.67535,5.152e-05,5.152e-05,5.152e-05
46,7408.95,0.77378,0.66851,0.73386,1.28775,0.53298,0.31948,0.35229,0.18141,0.47207,0.23308,0.23487,0.09921,2.07532,5.73154,2.76178,2.67492,4.36e-05,4.36e-05,4.36e-05
47,7499.25,0.74847,0.64409,0.69741,1.26186,0.52149,0.33696,0.35713,0.1838,0.39672,0.24493,0.236,0.10283,2.06349,5.75268,2.77859,2.66928,3.568e-05,3.568e-05,3.568e-05
48,7588.66,0.74579,0.64387,0.68336,1.25173,0.51465,0.348,0.35338,0.18365,0.46629,0.23817,0.23969,0.10001,2.0783,5.67854,2.77572,2.69702,2.776e-05,2.776e-05,2.776e-05
49,7679.31,0.73843,0.6421,0.67606,1.25404,0.47252,0.35218,0.3485,0.18436,0.35125,0.25771,0.22712,0.09925,2.07406,5.83778,2.79411,2.67937,1.984e-05,1.984e-05,1.984e-05
50,7768.13,0.72492,0.64527,0.66568,1.23766,0.57686,0.32733,0.35689,0.18928,0.47142,0.24182,0.2395,0.10208,2.0671,5.8884,2.77662,2.68689,1.192e-05,1.192e-05,1.192e-05
